"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Maldives,13,0,0,0,0,13,0,24
Montenegro,13,0,0,0,0,13,0,21
Paraguay,13,0,0,0,0,13,1,2
Nigeria,12,0,0,0,1,11,0,0.06
Guam,12,0,0,0,0,12,0,71
Channel Islands,11,0,0,0,0,11,0,63
Ghana,11,0,0,0,0,11,0,0.4
Rwanda,11,0,0,0,0,11,0,0.8
Monaco,10,0,0,0,0,10,0,255
Gibraltar,10,0,0,0,2,8,0,297
Guatemala,9,0,1                                ,0,0,8,0,0.5
Ivory Coast,9,0,0,0,1,8,0,0.3
Ethiopia,9,+2,0,0,0,9,0,0.08
Trinidad and Tobago,9,0,0,0,0,9,0,6
Kenya,7,0,0,0,0,7,0,0.1
Mauritius,7,0,0,0,0,7,0,6
Equatorial Guinea,6,0,0,0,0,6,0,4
French Polynesia,6,0,0,0,0,6,0,21
Kyrgyzstan,6,+3,0,0,0,6,0,0.9
Mongolia,6,0,0,0,0,6,0,2
Puerto Rico,6,0,0,0,0,6,0,2
Seychelles,6,0,0,0,0,6,0,61
Tanzania,6,0,0,0,0,6,0,0.1
Guyana,5,0,1                                ,0,0,4,0,6
Aruba,5,0,0,0,1,4,0,47
Barbados,5,0,0,0,0,5,0,17
Mayotte,4,0,0,0,0,4,0,15
Cayman Islands,3,0,1                                ,0,0,2,0,46
Curacao,3,0,1                                ,0,0,2,0,18
Bahamas,3,0,0,0,0,3,0,8
Congo,3,0,0,0,0,3,0,0.5
Gabon,3,0,0,0,0,3,0,1
Namibia,3,0,0,0,0,3,0,1
St. Barth,3,0,0,0,0,3,0,304
Saint Martin,3,0,0,0,0,3,0,78
U.S. Virgin Islands,3,0,0,0,0,3,0,29
Sudan,2,0,1                                ,0,0,1,0,0.05
Benin,2,0,0,0,0,2,0,0.2
Bermuda,2,0,0,0,0,2,0,32
Greenland,2,0,0,0,0,2,0,35
Haiti,2,+2,0,0,0,2,0,0.2
Liberia,2,0,0,0,0,2,0,0.4
Mauritania,2,0,0,0,0,2,0,0.4
New Caledonia,2,0,0,0,0,2,0,7
Saint Lucia,2,0,0,0,0,2,0,11
Zambia,2,0,0,0,0,2,0,0.1
Nepal,1,0,0,0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10
Bhutan,1,0,0,0,0,1,0,1
CAR,1,0,0,0,0,1,0,0.2
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1
El Salvador,1,0,0,0,0,1,0,0.2
Fiji,1,0,0,0,0,1,0,1
Gambia,1,0,0,0,0,1,0,0.4
Guinea,1,0,0,0,0,1,0,0.08
Vatican City,1,0,0,0,0,1,0,1248
Isle of Man,1,0,0,0,0,1,0,12
Montserrat,1,0,0,0,0,1,0,200
Nicaragua,1,0,0,0,0,1,0,0.2
Niger,1,0,0,0,0,1,0,0.04
St. Vincent Grenadines,1,0,0,0,0,1,0,9
Sint Maarten,1,0,0,0,0,1,0,23
Somalia,1,0,0,0,0,1,0,0.06
Suriname,1,0,0,0,0,1,0,2
Eswatini,1,0,0,0,0,1,0,0.9
Togo,1,0,0,0,0,1,0,0.1
Total:,245749,856,10046,17,88441,147262,7378,31.5
